ensembl_gene_id;name_1006
YHR209W;methylation
YHR209W;transferase activity
YHR209W;cytoplasm
YHR209W;cellular_component
YPR008W;regulation of transcription, DNA-templated
YPR008W;nucleus
YPR008W;DNA binding
YPR008W;transcription factor activity, sequence-specific DNA binding
YPR008W;positive regulation of transcription from RNA polymerase II promoter
YPR008W;transcription from RNA polymerase II promoter
YPR008W;RNA polymerase II transcription factor activity, sequence-specific DNA binding
YPR008W;copper ion binding
YPR008W;positive regulation of transcription from RNA polymerase II promoter in response to stress
YPR008W;positive regulation of transcription from RNA polymerase II promoter in response to acidic pH
YER075C;cytoplasm
YER075C;nucleus
YER075C;dephosphorylation
YER075C;protein tyrosine phosphatase activity
YER075C;protein dephosphorylation
YER075C;peptidyl-tyrosine dephosphorylation
YER075C;phosphatase activity
YER075C;regulation of protein localization
YER075C;regulation of sporulation
YER075C;inactivation of MAPK activity involved in osmosensory signaling pathway
YER075C;inactivation of MAPK activity involved in conjugation with cellular fusion
YDL203C;fungal-type cell wall organization
YDL203C;positive regulation of signal transduction
YDL203C;molecular_function
YDL203C;binding
YDL203C;mitochondrion
YDL203C;protein binding
YBR050C;negative regulation of transcription from RNA polymerase II promoter
YBR050C;regulation of catalytic activity
YBR050C;
YBR050C;protein phosphatase type 1 complex
YMR197C;integral component of Golgi membrane
YMR197C;vacuole fusion, non-autophagic
YMR197C;SNAP receptor activity
YMR197C;SNARE complex
YMR197C;vesicle fusion
YMR197C;late endosome membrane
YMR197C;Golgi to vacuole transport
YMR197C;intracellular protein transport
YMR197C;vesicle-mediated transport
YMR197C;Golgi membrane
YMR197C;Golgi apparatus
YMR197C;protein transport
YMR197C;intra-Golgi vesicle-mediated transport
YMR197C;integral component of membrane
YMR197C;transport
YMR197C;membrane
YMR197C;protein binding
YDR261W-A;transposition, RNA-mediated
YDR261W-A;RNA binding
YDR261W-A;cytoplasm
YDR261W-A;retrotransposon nucleocapsid
YBL049W;biological_process
YBL049W;molecular_function
YBL049W;cellular_component
YER054C;protein phosphatase regulator activity
YER054C;protein phosphatase type 1 complex
YER054C;protein dephosphorylation
YER054C;glycogen metabolic process
YER054C;regulation of catalytic activity
YER054C;protein binding
YDR305C;mitochondrion
YDR305C;nucleus
YDR305C;nucleotide binding
YDR305C;nucleoside-triphosphatase activity
YDR305C;hydrolase activity
YDR305C;catalytic activity
YDR305C;nucleoside catabolic process
YDR305C;bis(5'-adenosyl)-triphosphatase activity
YHL019W-A;integral component of membrane
YNL201C;binding
YNL201C;positive regulation of double-strand break repair via nonhomologous end joining
YNL201C;cellular response to DNA damage stimulus
YNL201C;nucleus
YNL201C;regulation of catalytic activity
YNL201C;protein dephosphorylation
YNL201C;
YNL201C;negative regulation of DNA damage checkpoint
YNL201C;signal transduction involved in meiotic recombination checkpoint
YNL201C;protein phosphatase 4 complex
YNL201C;negative regulation of glucose mediated signaling pathway
YHR180W-A;integral component of membrane
YCR061W;regulation of cell size
YCR061W;molecular_function
YCR061W;cytoplasm
YCR061W;integral component of membrane
YCR061W;membrane
YBR206W;
YPL171C;FMN binding
YPL171C;apoptotic process
YPL171C;metabolic process
YPL171C;catalytic activity
YPL171C;oxidation-reduction process
YPL171C;oxidoreductase activity
YPL171C;cellular_component
YPL171C;pentaerythritol trinitrate reductase activity
YPL171C;trichloro-p-hydroquinone reductive dehalogenase activity
YPL171C;NADPH dehydrogenase activity
YHR051W;mitochondrial respiratory chain complex IV
YHR051W;mitochondrial electron transport, cytochrome c to oxygen
YHR051W;cytochrome-c oxidase activity
YHR051W;metal ion binding
YHR051W;integral component of membrane
YHR051W;membrane
YHR051W;mitochondrial inner membrane
YHR051W;mitochondrion
YHR051W;hydrogen ion transmembrane transport
YDL116W;mRNA-binding (hnRNP) protein import into nucleus
YDL116W;posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
YDL116W;NLS-bearing protein import into nucleus
YDL116W;tRNA export from nucleus
YDL116W;protein export from nucleus
YDL116W;nucleocytoplasmic transport
YDL116W;mRNA export from nucleus in response to heat stress
YDL116W;nuclear pore
YDL116W;mRNA transport
YDL116W;nuclear pore organization
YDL116W;mRNA export from nucleus
YDL116W;nuclear membrane
YDL116W;protein transport
YDL116W;structural molecule activity
YDL116W;nuclear envelope organization
YDL116W;cellular response to DNA damage stimulus
YDL116W;nucleus
YDL116W;integral component of membrane
YDL116W;transport
YDL116W;membrane
YDL116W;rRNA export from nucleus
YDL116W;nuclear pore outer ring
YDL116W;chromosome localization
YDL116W;snRNA export from nucleus
YDL116W;ribosomal protein import into nucleus
YDL116W;snRNP protein import into nucleus
YDL116W;double-strand break repair
YDL116W;structural constituent of nuclear pore
YDL116W;protein import into nucleus
YDL116W;positive regulation of transcription from RNA polymerase II promoter
YDL116W;chromatin silencing at silent mating-type cassette
YDL116W;nuclear pore distribution
YDL116W;maintenance of chromatin silencing at telomere
YDL116W;telomere tethering at nuclear periphery
YDL116W;positive regulation of transcription, DNA-templated
YPR124W;copper ion transmembrane transport
YPR124W;copper ion import
YPR124W;copper ion transmembrane transporter activity
YPR124W;copper uptake transmembrane transporter activity
YPR124W;copper ion transport
YPR124W;obsolete membrane fraction
YPR124W;ion transport
YPR124W;plasma membrane
YPR124W;integral component of membrane
YPR124W;transport
YPR124W;membrane
YPR124W;identical protein binding
YJL023C;mitochondrial matrix
YGL167C;integral component of membrane
YGL167C;ATP binding
YGL167C;metal ion binding
YGL167C;calcium ion binding
YGL167C;Golgi apparatus
YGL167C;nucleotide binding
YGL167C;Golgi membrane
YGL167C;exocytosis
YGL167C;cellular calcium ion homeostasis
YGL167C;manganese-transporting ATPase activity
YGL167C;calcium-transporting ATPase activity
YGL167C;manganese ion transport
YGL167C;calcium ion transport
YGL167C;manganese ion transmembrane transport
YGL167C;calcium ion transmembrane transport
YDL165W;response to pheromone involved in conjugation with cellular fusion
YDL165W;nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
YDL165W;nuclear-transcribed mRNA poly(A) tail shortening
YDL165W;CCR4-NOT core complex
YDL165W;regulation of cell cycle
YDL165W;transcription elongation from RNA polymerase II promoter
YDL165W;protein ubiquitination
YDL165W;ubiquitin-protein transferase activity
YDL165W;regulation of transcription from RNA polymerase II promoter
YDL165W;negative regulation of transcription from RNA polymerase II promoter
YDL165W;transcription, DNA-templated
YDL165W;regulation of transcription, DNA-templated
YDL165W;nucleus
YDL165W;cytoplasm
YDL165W;positive regulation of transcription elongation from RNA polymerase II promoter
YDL165W;deadenylation-independent decapping of nuclear-transcribed mRNA
YLR154C-H;biological_process
YLR154C-H;molecular_function
YLR154C-H;cellular_component
YPL119C-A;biological_process
YPL119C-A;molecular_function
YPL119C-A;cellular_component
YPL119C-A;integral component of membrane
YPL119C-A;membrane
YIL143C;ATP binding
YIL143C;cytosol
YIL143C;nucleus
YIL143C;DNA binding
YIL143C;regulation of transposition, RNA-mediated
YIL143C;holo TFIIH complex
YIL143C;ATP-dependent DNA helicase activity
YIL143C;transcription from RNA polymerase II promoter
YIL143C;hydrolase activity
YIL143C;nucleotide-excision repair factor 3 complex
YIL143C;phosphorylation of RNA polymerase II C-terminal domain
YIL143C;nucleotide-excision repair
YIL143C;DNA duplex unwinding
YIL143C;promoter clearance from RNA polymerase II promoter
YIL143C;poly(A)+ mRNA export from nucleus
YIL143C;regulation of mitotic recombination
YIL143C;nucleotide-excision repair, DNA incision
YIL143C;transcriptional open complex formation at RNA polymerase II promoter
YIL143C;transcription initiation from RNA polymerase II promoter
YIL143C;transcriptional preinitiation complex
YBR292C;integral component of membrane
YGR240C;ATP binding
YGR240C;cytoplasm
YGR240C;mitochondrion
YGR240C;metal ion binding
YGR240C;mitochondrial outer membrane
YGR240C;proton transport
YGR240C;glycolytic process
YGR240C;hydrogen ion transmembrane transport
YGR240C;carbohydrate phosphorylation
YGR240C;6-phosphofructokinase activity
YGR240C;fructose 6-phosphate metabolic process
YGR240C;6-phosphofructokinase complex
YOR094W;cellular bud tip
YOR094W;positive regulation of phosphatidylinositol biosynthetic process
YOR094W;small GTPase mediated signal transduction
YOR094W;GTPase activity
YOR094W;mRNA binding
YOR094W;intracellular protein transport
YOR094W;vesicle-mediated transport
YOR094W;Golgi apparatus
YOR094W;protein transport
YOR094W;cellular bud neck
YOR094W;actin cortical patch localization
YOR094W;cellular bud site selection
YOR094W;GTP binding
YOR094W;endocytosis
YOR094W;nucleotide binding
YOR094W;actin filament bundle assembly
YOR094W;intracellular
YOR094W;transport
YOR094W;regulation of catalytic activity
YOR094W;enzyme regulator activity
YOR094W;obsolete GTP catabolic process
YOR094W;invasive filamentous growth
YDR167W;regulation of transcription, DNA-templated
YDR167W;nucleus
YDR167W;
YDR167W;RNA polymerase II transcriptional preinitiation complex assembly
YDR167W;chromatin binding
YDR167W;transcription factor TFIID complex
YDR167W;transcription from RNA polymerase II promoter
YDR167W;histone acetylation
YDR167W;SLIK (SAGA-like) complex
YDR167W;SAGA complex
YDR167W;protein complex scaffold
YDR167W;DNA-templated transcription, initiation
YDR167W;identical protein binding
YBR063C;biological_process
YBR063C;molecular_function
YBR063C;cellular_component
YBR063C;integral component of membrane
YBR063C;membrane
YER052C;ATP binding
YER052C;metabolic process
YER052C;methionine biosynthetic process
YER052C;amino acid binding
YER052C;threonine biosynthetic process
YER052C;homoserine biosynthetic process
YER052C;lysine biosynthetic process via diaminopimelate
YER052C;aspartate kinase activity
YER052C;cellular amino acid biosynthetic process
YGR178C;mitochondrion
YGR178C;nucleus
YGR178C;polysome
YGR178C;mRNA polyadenylation
YGR178C;cytoplasmic stress granule
YGR178C;maintenance of rDNA
YGR178C;stress granule assembly
YGR178C;positive regulation of translation
YPL118W;mitochondrial small ribosomal subunit
YPL118W;mitochondrial translation
YPL118W;structural constituent of ribosome
YPL118W;intracellular ribonucleoprotein complex
YPL118W;ribosome
YPL118W;mitochondrial translational initiation
YPL118W;mitochondrion
YPR187W;nucleoplasm
YPR187W;cytoplasm
YPR187W;transcription, DNA-templated
YPR187W;nucleus
YPR187W;DNA binding
YPR187W;ribosome biogenesis
YPR187W;RNA polymerase I activity
YPR187W;DNA-directed RNA polymerase I complex
YPR187W;transcription from RNA polymerase II promoter
YPR187W;DNA-directed 5'-3' RNA polymerase activity
YPR187W;DNA-directed RNA polymerase III complex
YPR187W;transcription, RNA-templated
YPR187W;DNA-directed RNA polymerase II, core complex
YPR187W;tRNA transcription from RNA polymerase III promoter
YPR187W;transcription from RNA polymerase I promoter
YPR187W;transcription from RNA polymerase III promoter
YJL065C;CHRAC
YJL065C;chromatin silencing at telomere
YJL065C;intracellular
YJL065C;DNA binding
YJL065C;sequence-specific DNA binding
YJL065C;transcription, DNA-templated
YJL065C;regulation of transcription, DNA-templated
YJL065C;molecular_function
YJL065C;nucleus
YJL065C;protein heterodimerization activity
YOL141W;mitochondrion
YOL141W;methyltransferase activity
YOL141W;wybutosine biosynthetic process
YOL141W;tRNA methyltransferase activity
YOL141W;tRNA methylation
YOL141W;methylation
YOL141W;protein binding
YPR086W;zinc ion binding
YPR086W;regulation of transcription, DNA-templated
YPR086W;nucleus
YPR086W;RNA polymerase II transcriptional preinitiation complex assembly
YPR086W;transcriptional start site selection at RNA polymerase II promoter
YPR086W;TBP-class protein binding
YPR086W;RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly
YPR086W;transcription factor activity, core RNA polymerase II recruiting
YPR086W;positive regulation of transcription regulatory region DNA binding
YPR086W;transcriptional open complex formation at RNA polymerase II promoter
YPR086W;RNA polymerase II core binding
YPR086W;DNA-templated transcription, initiation
YPR086W;transcriptional preinitiation complex
YBR122C;mitochondrial large ribosomal subunit
YBR122C;mitochondrial translation
YBR122C;structural constituent of ribosome
YBR122C;intracellular ribonucleoprotein complex
YBR122C;ribosome
YBR122C;mitochondrion
YBR271W;S-adenosylmethionine-dependent methyltransferase activity
YBR271W;biological_process
YBR271W;cytoplasm
YBR271W;protein-lysine N-methyltransferase activity
YBR271W;positive regulation of translational termination
YBR271W;peptidyl-lysine dimethylation
YBR271W;peptidyl-lysine methylation
YBR279W;rRNA processing
YBR279W;Cdc73/Paf1 complex
YBR279W;transcription elongation from RNA polymerase I promoter
YBR279W;regulation of transcription involved in G1/S transition of mitotic cell cycle
YBR279W;mRNA 3'-end processing
YBR279W;transcription elongation from RNA polymerase II promoter
YBR279W;transcriptionally active chromatin
YBR279W;snoRNA 3'-end processing
YBR279W;regulation of transcription-coupled nucleotide-excision repair
YBR279W;positive regulation of histone H3-K36 trimethylation
YBR279W;regulation of histone H2B conserved C-terminal lysine ubiquitination
YBR279W;positive regulation of transcription elongation from RNA polymerase I promoter
YBR279W;transcription factor activity, RNA polymerase II transcription factor binding
YBR279W;chromatin organization involved in regulation of transcription
YBR279W;snoRNA transcription from an RNA polymerase II promoter
YBR279W;regulation of histone H3-K4 methylation
YBR279W;positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues
YBR279W;regulation of chromatin silencing at telomere
YBR279W;RNA polymerase II C-terminal domain phosphoserine binding
YBR279W;nucleus
YBR279W;negative regulation of transcription from RNA polymerase II promoter
YBR279W;regulation of transcription from RNA polymerase II promoter
YBR279W;chromatin binding
YBR279W;positive regulation of transcription elongation from RNA polymerase II promoter
YBR279W;chromatin silencing at rDNA
YBR279W;global genome nucleotide-excision repair
YBR279W;transcription from RNA polymerase I promoter
YBR279W;RNA polymerase II core binding
YBR279W;DNA-templated transcription, termination
YBR279W;negative regulation of DNA recombination
YBR279W;transcription factor activity, RNA polymerase II core promoter sequence-specific
YBR279W;transcription factor activity, TFIIF-class transcription factor binding
YBR279W;histone modification
YBR279W;regulation of histone H2B ubiquitination
YBR279W;regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues
YHR095W;
YMR221C;fungal-type vacuole
YMR221C;vacuolar membrane
YMR221C;vacuole
YMR221C;biological_process
YMR221C;molecular_function
YMR221C;integral component of membrane
YMR221C;transport
YMR221C;membrane
YMR221C;mitochondrion
YMR221C;transmembrane transport
YDR241W;integral component of membrane
YJL221C;carbohydrate metabolic process
YJL221C;maltose metabolic process
YJL221C;catalytic activity
YJL221C;cation binding
YJL221C;disaccharide catabolic process
YJL221C;oligo-1,6-glucosidase activity
YER130C;biological_process
YER130C;nucleic acid binding
YER130C;intracellular
YER130C;DNA binding
YER130C;sequence-specific DNA binding
YER130C;zinc ion binding
YER130C;metal ion binding
YER130C;nucleus
YER130C;cellular_component
YBR155W;Hsp70 protein binding
YBR155W;Hsp90 protein binding
YBR155W;protein folding
YBR155W;cytoplasm
YBR155W;binding
YBR155W;protein binding
YDR363W;double-strand break repair via homologous recombination
YDR363W;intra-S DNA damage checkpoint
YDR363W;mitotic sister chromatid cohesion
YDR363W;chromatin silencing at silent mating-type cassette
YDR363W;transcription, DNA-templated
YDR363W;regulation of transcription, DNA-templated
YDR363W;molecular_function
YDR363W;nucleus
YDR363W;cytoplasm
YDR363W;positive regulation of protein sumoylation
YDR363W;protein binding
YGR266W;mitochondrial outer membrane
YGR266W;plasma membrane
YGR266W;biological_process
YGR266W;molecular_function
YGR266W;mitochondrion
YLR443W;calcium ion transport
YLR443W;
YLR443W;fungal-type cell wall organization
YLR443W;molecular_function
YLR443W;integral component of membrane
YLR443W;membrane
YLR443W;plasma membrane
YLR443W;cell wall organization
YPL147W;integral component of membrane
YPL147W;ATP binding
YPL147W;ATPase activity
YPL147W;integral component of peroxisomal membrane
YPL147W;transmembrane transport
YPL147W;ATPase activity, coupled to transmembrane movement of substances
YPL147W;fatty acid beta-oxidation
YPL147W;peroxisomal fatty-acyl-CoA transporter activity
YPL147W;very long-chain fatty acid catabolic process
YPL147W;long-chain fatty acid catabolic process
YPL147W;peroxisome
YPL147W;transport
YPL147W;long-chain fatty acid transporter activity
YPL147W;fatty acid transport
YPL147W;fatty-acyl-CoA transport
YPL147W;peroxisomal long-chain fatty acid import
YAL034C;biological_process
YAL034C;molecular_function
YAL034C;cellular_component
YAL034C;DNA binding
YAL034C;protein binding
YBR067C;fungal-type cell wall
YBR067C;anchored component of membrane
YBR067C;extracellular region
YBR067C;fungal-type cell wall organization
YBR067C;structural constituent of cell wall
YBR067C;response to stress
YBR067C;metabolic process
YBR067C;lipase activity
YCR095C;biological_process
YCR095C;molecular_function
YCR095C;cytoplasm
YLR270W;nuclear-transcribed mRNA catabolic process, deadenylation-independent decay
YLR270W;deadenylation-dependent decapping of nuclear-transcribed mRNA
YLR270W;m7G(5')pppN diphosphatase activity
YLR270W;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
YLR270W;P-body
YLR270W;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
YLR270W;catalytic activity
YLR270W;hydrolase activity
YLR270W;nucleus
YLR270W;cytoplasm
YLR270W;mitochondrion
YLR270W;response to oxidative stress
YLR270W;response to heat
YLR270W;perinuclear region of cytoplasm
YLR270W;response to osmotic stress
